level,file,issue,metric,n
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,missing_in_warehouse,PVEM_PT_MORENA,103
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,PVEM_PT_MORENA,103
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PVEM_PT_MORENA,103
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PVEM_PT_MORENA,102
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,PVEM_PT,101
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PVEM_PT_MORENA,100
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PAN_PRI,99
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PVEM_MORENA,98
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PAN_PRI,96
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PT_MORENA,92
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PVEM_MORENA,92
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PT_MORENA,92
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PVEM_MORENA,91
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PVEM_MORENA,89
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PVEM_PT,89
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PT_MORENA,88
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN_PRI,84
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PAN_PRI,83
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PT_MORENA,81
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,PVEM_PT,75
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,PVEM_PT,71
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PVEM_PT,70
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,PVEM_PT,68
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,NUM_VOTOS_CAN_NREG,60
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,NUM_VOTOS_CAN_NREG,58
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,MC,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,MORENA,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,NUM_VOTOS_CAN_NREG,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,NUM_VOTOS_NULOS,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,NUM_VOTOS_VALIDOS,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PAN,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PAN_PRD,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PAN_PRI,56
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,PAN_PRI_PRD,56
