level,file,issue,n
SEC,2024_SEE_PRE_NAL_SEC.csv,measure_column_missing_in_csv,4
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,measure_column_missing_in_csv,4
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,measure_column_missing_in_csv,4
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,measure_column_missing_in_csv,3
DIS,2024_SEE_PRE_NAL_DIS.csv,measure_column_missing_in_csv,3
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,measure_column_missing_in_csv,3
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,measure_column_missing_in_csv,3
MUN,2024_SEE_DIP_FED_RP_NAL_MUN.csv,measure_column_missing_in_csv,3
MUN,2024_SEE_PRE_NAL_MUN.csv,measure_column_missing_in_csv,3
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,measure_column_missing_in_csv,3
MUN,2024_SEE_SEN_FED_RP_NAL_MUN.csv,measure_column_missing_in_csv,3
ENT,2024_SEE_DIP_FED_MR_NAL_ENT.csv,measure_column_missing_in_csv,1
ENT,2024_SEE_PRE_NAL_ENT.csv,measure_column_missing_in_csv,1
ENT,2024_SEE_SEN_FED_MR_NAL_ENT.csv,measure_column_missing_in_csv,1
